"OfiaraID";"Imie";"DataUrodzenia";"DataZgonu"
1;"Maria";15.01.1301 00:00:00;02.06.1345 00:00:00
2;"Johann";21.06.1255 00:00:00;18.08.1275 00:00:00
3;"Franz";04.03.1515 00:00:00;04.04.1595 00:00:00
4;"Louise";05.06.1595 00:00:00;05.08.1615 00:00:00
5;"Elizabeth";03.09.1330 00:00:00;02.11.1366 00:00:00
6;"Thomas";07.06.1812 00:00:00;01.12.1899 00:00:00
7;"Anastasia";08.07.1900 00:00:00;18.08.2000 00:00:00
8;"Giovanni";28.05.2005 00:00:00;19.01.2036 00:00:00
9;"Nefertari";10.09.2109 00:00:00;14.10.2173 00:00:00
10;"Seamus";11.10.2219 00:00:00;02.12.2255 00:00:00
11;"Hutter";08.03.1520 00:00:00;14.05.1540 00:00:00
